TMLP_ID	TMLP_ML_ID	TMLP_PART_ID
1	5013	586
2	5014	586
3	5015	586
4	5016	586
5	5017	586
6	5018	586
7	5019	586
8	5020	586
9	5023	586
10	5024	586
11	5025	586
12	5031	586
13	5032	586
14	5035	586
15	5036	586
16	5042	586
17	5045	586
18	5047	586
19	5055	682
20	5060	686
21	5061	686
22	5062	686
23	5063	686
24	5065	686
25	5066	686
26	5067	686
27	5070	686
28	5071	686
29	5072	686
30	5073	686
31	5074	686
32	5075	686
33	5076	686
34	5077	686
35	5078	686
36	5083	686
37	5085	686
38	5088	686
39	5090	686
40	5094	686
41	5095	686
42	5096	686
43	5097	686
44	5098	686
45	5101	678
46	5102	678
47	5103	678
48	5104	675
49	5105	675
50	5106	675
51	5107	675
52	5108	675
53	5109	675
54	5110	675
55	5111	675
56	5112	677
57	5113	678
58	5114	678
59	5115	678
60	5116	678
61	5117	678
62	5118	678
63	5119	678
64	5120	595
65	5121	711
66	5122	678
67	5123	595
68	5124	678
69	5125	678
70	5126	595
71	5127	678
72	5128	678
73	5129	678
74	5130	595
75	5131	595
76	5132	595
77	5133	595
78	5134	678
79	5135	678
80	5136	595
81	5137	595
82	5138	678
83	5140	595
84	5141	678
85	5142	595
86	5144	678
87	5145	678
88	5146	708
89	5147	595
90	5148	595
91	5149	595
92	5150	595
93	5151	678
94	5152	595
95	5155	595
96	5156	595
97	5157	595
98	5158	678
99	5159	598
100	5160	598
101	5161	598
102	5162	667
103	5163	598
104	5164	598
105	5165	598
106	5166	598
107	5167	598
108	5168	598
109	5169	598
110	5170	598
111	5171	598
112	5172	598
113	5173	598
114	5174	678
115	5175	678
116	5176	598
117	5177	598
118	5178	598
119	5179	598
120	5183	678
121	5184	678
122	5186	678
123	5187	678
124	5188	593
125	5189	678
126	5190	593
127	5191	593
128	5192	593
129	5193	593
130	5194	593
131	5195	593
132	5196	593
133	5197	720
134	5198	720
135	5199	720
136	5200	720
137	5201	720
138	5202	721
139	5203	721
140	5204	721
141	5205	721
142	5206	711
143	5207	715
144	5208	721
145	5209	721
146	5210	714
147	5211	714
148	5212	714
149	5213	678
150	5214	678
151	5215	675
152	5216	675
153	5217	675
154	5218	675
155	5219	675
156	5220	675
157	5221	675
158	5222	675
159	5223	677
160	5224	677
161	5225	677
162	5226	677
163	5227	682
164	5228	677
165	5229	677
166	5230	677
167	5231	677
168	5232	677
169	5233	677
170	5234	677
171	5235	677
172	5236	677
173	5237	677
174	5238	677
175	5239	686
176	5240	593
177	5241	593
178	5242	593
179	5243	593
180	5244	593
181	5245	593
182	5246	593
183	5247	593
184	5248	593
185	5249	593
186	5250	593
187	5251	593
188	5252	713
189	5253	713
190	5254	713
191	5255	713
192	5256	713
193	5257	713
194	5258	713
195	5260	713
196	5261	711
197	5264	711
198	5265	716
199	5266	711
200	5267	711
201	5268	716
202	5269	716
203	5270	716
204	5271	716
205	5272	716
206	5273	716
207	5274	716
208	5275	716
209	5276	716
210	5277	716
211	5278	716
212	5279	711
213	5280	716
214	5281	716
215	5282	711
216	5283	711
217	5284	711
218	5285	711
219	5286	711
220	5288	711
221	5289	716
222	5290	723
223	5291	723
224	5292	723
225	5293	723
226	5294	723
227	5295	723
228	5296	723
229	5297	723
230	5298	723
231	5299	723
232	5300	723
233	5301	723
234	5305	723
235	5306	720
236	5307	720
237	5308	720
238	5309	720
239	5310	720
240	5311	720
241	5312	720
242	5313	720
243	5314	720
244	5315	720
245	5319	657
246	5320	657
247	5321	657
248	5322	657
249	5323	657
250	5324	657
251	5325	723
